,bus_id,trip_id,dep_time,arr_time,duration,dep_terminal,arr_terminal,next_dep,difference
0,1,AC2,675,815,140,Terminal A,Terminal C,860.0,45.0
1,1,CA3,860,1000,140,Terminal C,Terminal A,0.0,0.0
2,2,AB4,920,1055,135,Terminal A,Terminal B,1080.0,25.0
3,2,BA7,1080,1215,135,Terminal B,Terminal A,0.0,0.0
4,3,CD1,450,720,270,Terminal C,Terminal D,810.0,90.0
5,3,DC1,810,1080,270,Terminal D,Terminal C,0.0,0.0
6,4,AB1,560,695,135,Terminal A,Terminal B,720.0,25.0
7,4,BA3,720,855,135,Terminal B,Terminal A,875.0,20.0
8,4,CS1,875,935,80,Terminal A,Terminal A,990.0,55.0
9,4,BA6,990,1125,135,Terminal B,Terminal A,1190.0,65.0
10,4,AB8,1190,1325,135,Terminal A,Terminal B,0.0,0.0
11,5,BA1,540,675,135,Terminal B,Terminal A,740.0,65.0
12,5,AB2,740,875,135,Terminal A,Terminal B,900.0,25.0
13,5,BA5,900,1035,135,Terminal B,Terminal A,0.0,0.0
14,6,AD1,560,770,210,Terminal A,Terminal D,790.0,20.0
15,6,CS1,790,850,80,Terminal D,Terminal D,860.0,10.0
16,6,DA1,860,1070,210,Terminal D,Terminal A,1100.0,30.0
17,6,AB7,1100,1235,135,Terminal A,Terminal B,0.0,0.0
18,7,BA2,630,765,135,Terminal B,Terminal A,830.0,65.0
19,7,AB3,830,965,135,Terminal A,Terminal B,985.0,20.0
20,7,CS1,985,1045,80,Terminal B,Terminal B,1140.0,95.0
21,7,BA8,1140,1275,135,Terminal B,Terminal A,0.0,0.0
22,8,AC1,555,695,140,Terminal A,Terminal C,740.0,45.0
23,8,CA2,740,880,140,Terminal C,Terminal A,900.0,20.0
24,8,CS1,900,960,80,Terminal A,Terminal A,1040.0,80.0
25,8,AB6,1040,1175,135,Terminal A,Terminal B,0.0,0.0
26,9,CA1,570,710,140,Terminal C,Terminal A,795.0,85.0
27,9,AC3,795,935,140,Terminal A,Terminal C,955.0,20.0
28,9,CS1,955,1015,80,Terminal C,Terminal C,1040.0,25.0
29,9,CA5,1040,1180,140,Terminal C,Terminal A,1215.0,35.0
30,9,AC5,1215,1355,140,Terminal A,Terminal C,0.0,0.0
31,10,CA4,920,1060,140,Terminal C,Terminal A,1155.0,95.0
32,10,AC4,1155,1295,140,Terminal A,Terminal C,0.0,0.0
33,11,BA4,810,945,135,Terminal B,Terminal A,980.0,35.0
34,11,AB5,980,1115,135,Terminal A,Terminal B,0.0,0.0
